,business_id,caption,label,photo_id,class_names_label,path,image
53291,uChTCA6MsLAciDRklpO-Fw,veggie bibimbap with tofu,food,_adTxlg4uVVMJjQh3QxBaQ,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_adTxlg4uVVMJjQh3QxBaQ.jpg,"[[[ 57  42  11]
  [ 49  36   4]
  [ 51  40   8]
  ...
  [103  35  24]
  [106  36  26]
  [110  38  26]]

 [[ 51  41  16]
  [ 43  35  12]
  [ 56  48  25]
  ...
  [ 84  24  13]
  [ 87  25  14]
  [ 88  24  12]]

 [[ 79  79  55]
  [ 49  48  27]
  [ 53  50  31]
  ...
  [ 80  32  20]
  [ 82  32  21]
  [ 83  34  20]]

 ...

 [[115  67  31]
  [122  74  38]
  [130  84  48]
  ...
  [ 76  39  21]
  [ 77  40  21]
  [ 77  40  21]]

 [[109  56  22]
  [113  60  26]
  [117  64  30]
  ...
  [ 77  40  21]
  [ 79  42  23]
  [ 79  43  21]]

 [[108  47  18]
  [107  48  18]
  [109  50  18]
  ...
  [ 77  39  20]
  [ 80  42  21]
  [ 80  44  22]]]"
53317,OgJ0KxwJcJ9R5bUK0ixCbg,Palmier and Small Hot Velvet,drink,_A8HWaiao3PafcjWUz9jmg,0,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_A8HWaiao3PafcjWUz9jmg.jpg,"[[[237 229 210]
  [237 229 210]
  [237 229 210]
  ...
  [224 222 223]
  [217 212 208]
  [212 205 195]]

 [[237 229 210]
  [237 229 210]
  [237 229 210]
  ...
  [227 225 226]
  [222 217 213]
  [219 210 201]]

 [[237 229 210]
  [237 229 210]
  [237 229 210]
  ...
  [224 223 221]
  [222 217 211]
  [221 213 202]]

 ...

 [[231 224 206]
  [230 223 205]
  [230 223 205]
  ...
  [205 206 211]
  [213 216 221]
  [227 230 235]]

 [[231 224 205]
  [230 223 204]
  [230 223 205]
  ...
  [237 241 244]
  [237 240 245]
  [237 240 245]]

 [[231 224 205]
  [230 223 204]
  [230 223 204]
  ...
  [240 244 247]
  [228 231 236]
  [216 219 224]]]"
53664,Z_mJYg3vi8cPZHa1J4BALw,ravioli,food,_3yxbew-N-b46tRsl1UT0A,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_3yxbew-N-b46tRsl1UT0A.jpg,"[[[155 105  46]
  [163 113  54]
  [165 115  56]
  ...
  [  0   5  12]
  [  0   3  11]
  [  0   4  10]]

 [[163 113  54]
  [170 120  61]
  [171 121  62]
  ...
  [  0   5  14]
  [  0   4  13]
  [  0   2   9]]

 [[167 115  57]
  [173 121  63]
  [173 121  63]
  ...
  [  0   0   7]
  [  0   1  10]
  [  0   1  12]]

 ...

 [[164 115  57]
  [163 114  56]
  [166 117  59]
  ...
  [183 137  78]
  [180 131  73]
  [175 126  68]]

 [[160 111  53]
  [158 109  51]
  [162 113  55]
  ...
  [177 130  74]
  [175 128  72]
  [176 127  71]]

 [[157 108  50]
  [155 106  48]
  [157 108  50]
  ...
  [128  82  30]
  [132  85  31]
  [138  88  35]]]"
53941,umXvdus9LbC6oxtLdXelFQ,,inside,_ai6LUYt9qpKycSQMoAdkw,2,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_ai6LUYt9qpKycSQMoAdkw.jpg,"[[[211 207 196]
  [201 197 186]
  [211 204 194]
  ...
  [153 146 117]
  [152 145 116]
  [153 144 115]]

 [[209 205 194]
  [208 204 193]
  [211 204 194]
  ...
  [153 146 117]
  [151 144 115]
  [151 142 113]]

 [[211 207 196]
  [215 211 200]
  [211 204 194]
  ...
  [151 144 115]
  [149 142 113]
  [149 140 111]]

 ...

 [[ 66  56  57]
  [ 80  70  71]
  [ 74  62  62]
  ...
  [152 148 110]
  [143 139 101]
  [150 146 108]]

 [[ 70  58  60]
  [ 83  71  71]
  [ 85  73  73]
  ...
  [158 154 116]
  [149 146 105]
  [157 153 115]]

 [[ 79  67  67]
  [ 84  72  72]
  [ 89  78  76]
  ...
  [163 159 121]
  [154 151 110]
  [163 158 120]]]"
53984,eLFfWcdb7VkqNyTONksHiQ,,inside,__T-qLq68MO2xhfDJRZDnA,2,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/__T-qLq68MO2xhfDJRZDnA.jpg,"[[[ 76   3 242]
  [ 75   2 239]
  [ 76   2 237]
  ...
  [ 11   8  15]
  [ 13  11  16]
  [ 14  12  17]]

 [[ 76   3 242]
  [ 74   1 241]
  [ 74   0 240]
  ...
  [ 14  11  18]
  [ 15  13  18]
  [ 14  12  17]]

 [[ 77   4 233]
  [ 76   3 234]
  [ 77   1 234]
  ...
  [ 16  11  18]
  [ 17  12  18]
  [ 16  11  17]]

 ...

 [[ 11   5   5]
  [ 11   5   5]
  [ 11   5   5]
  ...
  [ 26  17  10]
  [ 26  17  10]
  [ 27  18  11]]

 [[ 11   5   5]
  [ 11   5   5]
  [ 11   5   5]
  ...
  [ 26  17  10]
  [ 26  17  10]
  [ 27  18  11]]

 [[ 11   5   5]
  [ 11   5   5]
  [ 11   5   5]
  ...
  [ 26  17  10]
  [ 26  17  10]
  [ 27  18  11]]]"
53987,N8D-5-fW7EkBdKjNYGhu0A,,drink,_bHlpNRqduOcPDScyeKiuQ,0,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_bHlpNRqduOcPDScyeKiuQ.jpg,"[[[ 8  0  0]
  [ 6  0  0]
  [ 5  1  2]
  ...
  [ 4  2  7]
  [ 4  2  7]
  [ 4  2  7]]

 [[41 31 32]
  [22 13 14]
  [ 4  0  1]
  ...
  [ 4  2  7]
  [ 4  2  7]
  [ 5  3  8]]

 [[34 25 26]
  [18 12 12]
  [ 6  2  3]
  ...
  [ 3  1  6]
  [ 4  2  7]
  [ 4  2  7]]

 ...

 [[17 15 28]
  [31 25 29]
  [42 29 23]
  ...
  [11  7  6]
  [11  7  6]
  [11  7  6]]

 [[20 18 31]
  [32 26 30]
  [44 31 25]
  ...
  [12  8  7]
  [12  8  7]
  [12  8  7]]

 [[24 22 35]
  [31 25 29]
  [48 35 29]
  ...
  [13  9  8]
  [13  9  8]
  [13  9  8]]]"
54046,e6UDJBEIoXBbnXtdwkqIGA,"No more orders, everyone's waiting for their pick-up.",inside,___3eKRa-uA97sdEZTJ9rQ,2,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/___3eKRa-uA97sdEZTJ9rQ.jpg,"[[[134 152 228]
  [106 166 228]
  [ 43 144 190]
  ...
  [162 136  87]
  [193 157  95]
  [219 187 126]]

 [[ 81 136 200]
  [ 95 167 225]
  [ 75 165 218]
  ...
  [165 139  90]
  [195 159  97]
  [221 189 130]]

 [[ 57 161 212]
  [ 58 151 210]
  [ 67 150 218]
  ...
  [169 143  94]
  [200 162 100]
  [224 192 133]]

 ...

 [[ 23  20  13]
  [ 22  19  12]
  [ 22  19  12]
  ...
  [ 39  33  19]
  [ 36  28  15]
  [ 37  30  14]]

 [[ 23  20  13]
  [ 22  19  12]
  [ 22  19  12]
  ...
  [ 39  33  19]
  [ 36  29  13]
  [ 37  30  14]]

 [[ 22  19  12]
  [ 22  19  12]
  [ 23  20  13]
  ...
  [ 39  33  17]
  [ 36  29  13]
  [ 37  30  14]]]"
54219,nPBG-UbMHDMdcnW-HncZNA,Garlic Parm,food,_9LOvfwDcV4lfmXWnaE0Ug,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_9LOvfwDcV4lfmXWnaE0Ug.jpg,"[[[205 198 182]
  [203 196 180]
  [202 196 180]
  ...
  [ 72  63  34]
  [ 74  68  36]
  [181 176 144]]

 [[196 189 171]
  [194 187 171]
  [193 186 170]
  ...
  [ 70  63  34]
  [ 69  64  32]
  [112 108  73]]

 [[205 194 176]
  [202 191 173]
  [198 187 169]
  ...
  [ 73  68  39]
  [ 69  66  33]
  [ 63  61  23]]

 ...

 [[ 45  19  18]
  [ 35   6   0]
  [ 44  13   0]
  ...
  [219 167  65]
  [207 155  54]
  [213 161  62]]

 [[ 73  45  23]
  [ 70  40  14]
  [ 74  41  10]
  ...
  [177 124  32]
  [165 114  25]
  [172 120  36]]

 [[ 87  53   5]
  [ 99  63  15]
  [109  71  24]
  ...
  [125  71   1]
  [118  64   0]
  [127  75  15]]]"
54433,dk7VpR5Xh7t28U99ASZz7A,Flank Steak,food,__mL6it04e6sWkSL9K0ecQ,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/__mL6it04e6sWkSL9K0ecQ.jpg,"[[[110   3  29]
  [111   9  33]
  [108  16  39]
  ...
  [107  93  84]
  [ 92  79  70]
  [ 47  34  26]]

 [[105   7  30]
  [111   9  33]
  [115  11  38]
  ...
  [115 101  92]
  [ 92  79  71]
  [ 20   9   3]]

 [[100  11  31]
  [111   7  34]
  [125   4  37]
  ...
  [ 77  67  58]
  [ 66  57  52]
  [  6   0   0]]

 ...

 [[ 50   8  12]
  [ 50   8  12]
  [ 50   8  12]
  ...
  [ 11   9  10]
  [ 14  10   9]
  [ 16  12  11]]

 [[ 51   8  15]
  [ 51   8  15]
  [ 50   9  15]
  ...
  [ 11   7   6]
  [ 12   7   4]
  [ 13   8   5]]

 [[ 51  10  16]
  [ 51  10  16]
  [ 51  10  16]
  ...
  [ 12   8   5]
  [ 13   8   5]
  [ 12   7   4]]]"
54612,uBdYMY6a6A7FyxzTSwOiDg,,inside,_52UXa_54QnwyecMIVP80g,2,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_52UXa_54QnwyecMIVP80g.jpg,"[[[108 104  92]
  [111 107  95]
  [125 121 109]
  ...
  [ 94  87  77]
  [ 80  76  65]
  [ 66  62  51]]

 [[102  98  86]
  [121 117 105]
  [123 119 107]
  ...
  [ 74  67  57]
  [ 72  68  57]
  [ 74  70  59]]

 [[109 107  95]
  [100  98  86]
  [100  98  86]
  ...
  [ 79  72  62]
  [ 85  78  68]
  [ 93  86  76]]

 ...

 [[159 139 150]
  [157 141 154]
  [ 92  83 100]
  ...
  [ 65  45  56]
  [ 40  23  33]
  [ 77  60  70]]

 [[113 112 128]
  [126 128 143]
  [ 80  83 100]
  ...
  [ 55  39  49]
  [ 43  27  37]
  [ 91  78  87]]

 [[ 99 115 138]
  [115 130 151]
  [ 73  86 103]
  ...
  [ 78  65  72]
  [ 60  49  55]
  [ 96  87  92]]]"
54613,1lReBAd4iLe0rBLKiurw7Q,,food,_bndOYS-AH2vtwFoJK3xEA,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_bndOYS-AH2vtwFoJK3xEA.jpg,"[[[168 150 166]
  [180 147 158]
  [194 145 148]
  ...
  [226 223 216]
  [226 223 216]
  [226 223 216]]

 [[173 152 169]
  [183 150 161]
  [193 147 150]
  ...
  [223 220 211]
  [224 221 214]
  [224 221 214]]

 [[176 153 169]
  [184 151 160]
  [192 147 150]
  ...
  [223 220 211]
  [224 221 212]
  [224 221 212]]

 ...

 [[124 106  84]
  [143 125 101]
  [149 132 106]
  ...
  [180 164 165]
  [184 168 169]
  [182 166 167]]

 [[136 118  94]
  [151 134 108]
  [152 135 107]
  ...
  [177 161 162]
  [182 166 167]
  [182 166 167]]

 [[142 126 100]
  [152 136 110]
  [150 135 106]
  ...
  [175 159 160]
  [181 165 166]
  [183 167 168]]]"
55183,L_ZLtfHvfzfoNVQ0-okTXg,"Split order of lobster and mushroom pasta as an appetizer, excellent !",food,_5OKRWxeYLw-SpXR_htbZA,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_5OKRWxeYLw-SpXR_htbZA.jpg,"[[[241 197 148]
  [240 196 147]
  [241 197 148]
  ...
  [201 156 101]
  [201 156 101]
  [200 155  98]]

 [[241 197 148]
  [241 197 148]
  [241 197 148]
  ...
  [203 158 103]
  [202 157 102]
  [201 156  99]]

 [[240 196 147]
  [242 198 149]
  [242 198 149]
  ...
  [204 159 104]
  [203 158 103]
  [202 157 102]]

 ...

 [[227 184 131]
  [227 184 131]
  [228 185 132]
  ...
  [188 138  89]
  [187 137  88]
  [186 136  85]]

 [[225 182 131]
  [225 182 129]
  [226 183 130]
  ...
  [187 137  88]
  [186 136  87]
  [185 135  84]]

 [[225 182 131]
  [225 182 131]
  [225 182 129]
  ...
  [186 136  87]
  [185 135  86]
  [184 134  83]]]"
55513,M4RwZL5bTBTwwbVcoaDbtw,,inside,_D8u5oJxs6M7a4UN8emImA,2,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_D8u5oJxs6M7a4UN8emImA.jpg,"[[[131  89  51]
  [134  85  52]
  [135  80  50]
  ...
  [ 15  11   8]
  [  7   8   3]
  [  0   5   1]]

 [[143  93  60]
  [138  88  55]
  [137  88  58]
  ...
  [ 16  12   9]
  [  8   9   4]
  [  1   6   2]]

 [[153  94  64]
  [138  87  56]
  [134  93  63]
  ...
  [ 14  13   9]
  [  7   9   6]
  [  2   7   3]]

 ...

 [[ 92  82  91]
  [ 94  84  93]
  [ 94  84  93]
  ...
  [  6   6   6]
  [  5   5   3]
  [  5   5   3]]

 [[103  90 100]
  [101  87 100]
  [ 96  84  96]
  ...
  [  6   6   8]
  [  4   6   3]
  [  4   6   1]]

 [[105  89 102]
  [103  87 100]
  [ 97  83  96]
  ...
  [  6   6   8]
  [  4   6   3]
  [  2   7   0]]]"
55925,EZQESVzkOPs7LwCHVC3Szg,,food,_4nCTS7ZAL_YKBgpd_0uIw,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_4nCTS7ZAL_YKBgpd_0uIw.jpg,"[[[125 120  64]
  [103  96  41]
  [ 98  88  35]
  ...
  [141 123  59]
  [142 124  60]
  [132 114  50]]

 [[111 104  50]
  [ 95  88  33]
  [ 95  84  30]
  ...
  [126 108  46]
  [133 115  53]
  [127 109  47]]

 [[ 99  89  36]
  [ 92  82  29]
  [ 93  80  27]
  ...
  [112  93  34]
  [124 105  46]
  [123 104  45]]

 ...

 [[112  93  50]
  [ 89  67  28]
  [ 83  57  24]
  ...
  [143 125  77]
  [142 124  74]
  [141 123  73]]

 [[118  90  50]
  [ 97  71  34]
  [ 85  59  26]
  ...
  [142 124  76]
  [141 123  73]
  [140 122  72]]

 [[121  87  50]
  [107  79  42]
  [ 87  61  26]
  ...
  [140 122  74]
  [139 121  71]
  [138 120  70]]]"
56056,XgRDG9E_WLEbl8S-QUqQkQ,,inside,P1Co3Qj9tDqGMG3f6qmtHw,2,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/P1Co3Qj9tDqGMG3f6qmtHw.jpg,"[[[202 187 166]
  [135  99  85]
  [151  95  80]
  ...
  [ 19  14  10]
  [ 19  14  10]
  [ 20  12   9]]

 [[185 146 113]
  [132  78  54]
  [144  82  61]
  ...
  [ 20  12   9]
  [ 20  12   9]
  [ 20  12   9]]

 [[209 161 113]
  [163 101  60]
  [126  61  29]
  ...
  [ 18  11   5]
  [ 18  10   7]
  [ 19  11   8]]

 ...

 [[ 80  44  10]
  [ 83  48  16]
  [ 79  44  14]
  ...
  [152  96  47]
  [152  94  44]
  [153  93  43]]

 [[ 75  46   6]
  [ 78  50  11]
  [ 73  44  10]
  ...
  [146  92  45]
  [147  91  42]
  [148  90  40]]

 [[ 71  43   4]
  [ 75  47  10]
  [ 68  42   9]
  ...
  [141  89  41]
  [142  89  39]
  [144  88  39]]]"
56116,A4zLP5AyKEEHQr_dWEZKig,"Flatbread, the shining star of the night",food,_1V91DzgS3PFVDD7s8-ueA,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_1V91DzgS3PFVDD7s8-ueA.jpg,"[[[165 116  60]
  [177 124  58]
  [182 120  47]
  ...
  [156 111  72]
  [152 107  68]
  [149 104  65]]

 [[163 117  67]
  [174 124  75]
  [173 115  67]
  ...
  [157 112  73]
  [154 109  70]
  [151 106  65]]

 [[161 119  69]
  [168 122  86]
  [171 122  92]
  ...
  [158 113  72]
  [155 110  69]
  [153 108  67]]

 ...

 [[202 152  93]
  [199 148  91]
  [200 149  92]
  ...
  [166 121  82]
  [176 129  87]
  [180 133  87]]

 [[202 152  91]
  [199 149  90]
  [200 149  92]
  ...
  [172 124  86]
  [177 130  88]
  [180 133  87]]

 [[201 151  88]
  [199 149  88]
  [201 151  92]
  ...
  [177 129  89]
  [178 131  89]
  [180 132  86]]]"
56253,foQZ6guS0l49trURKh7vlA,HAPPY NEW YEAR!,outside,_aERLSgTaeyfhsTomUfzIg,4,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_aERLSgTaeyfhsTomUfzIg.jpg,"[[[ 55  54  52]
  [ 44  42  43]
  [ 39  37  38]
  ...
  [ 71  72  92]
  [ 73  72  90]
  [ 74  71  88]]

 [[ 56  55  53]
  [ 46  45  43]
  [ 43  41  42]
  ...
  [ 72  73  91]
  [ 74  73  89]
  [ 75  73  87]]

 [[ 60  59  57]
  [ 51  50  48]
  [ 48  46  47]
  ...
  [ 74  75  93]
  [ 75  74  90]
  [ 75  73  87]]

 ...

 [[ 21  40  46]
  [ 44  40  28]
  [148 115  80]
  ...
  [ 18  14  15]
  [ 23  11  25]
  [ 24  11  28]]

 [[ 30  42  30]
  [ 49  39  12]
  [143 108  66]
  ...
  [ 19  12  20]
  [ 26   8  30]
  [ 27   9  35]]

 [[ 36  37  23]
  [ 57  41  16]
  [146 112  74]
  ...
  [ 21  11  22]
  [ 28   5  33]
  [ 27   6  37]]]"
56606,ujHiaprwCQ5ewziu0Vi9rw,,food,_CMMIcyDjncCUeuiQ1gW_Q,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_CMMIcyDjncCUeuiQ1gW_Q.jpg,"[[[151 118  73]
  [165 128  83]
  [160 116  69]
  ...
  [147  78  13]
  [140  70  10]
  [135  62  11]]

 [[152 118  80]
  [164 126  87]
  [167 122  81]
  ...
  [142  73   8]
  [135  65   6]
  [128  55   4]]

 [[154 116  80]
  [160 120  84]
  [168 124  85]
  ...
  [154  84  22]
  [147  77  18]
  [141  67  18]]

 ...

 [[146  52   0]
  [147  61   4]
  [141  62   6]
  ...
  [215 171 106]
  [214 170 105]
  [204 160  95]]

 [[144  53   0]
  [143  59   0]
  [134  59   1]
  ...
  [208 164 101]
  [197 153  90]
  [177 131  69]]

 [[144  55   0]
  [142  58   0]
  [133  54   0]
  ...
  [179 135  72]
  [159 113  51]
  [128  82  22]]]"
56688,5q6Xh-UcJa78bp6dzyaE7w,Bacon with maple glaze was the best!!!!!,food,__cxd3MF9JRpQXOr7BJrQQ,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/__cxd3MF9JRpQXOr7BJrQQ.jpg,"[[[118 122 125]
  [150 151 155]
  [191 191 193]
  ...
  [225 236 255]
  [224 237 255]
  [224 237 255]]

 [[201 200 205]
  [247 245 250]
  [252 247 251]
  ...
  [224 235 255]
  [223 236 255]
  [222 235 254]]

 [[255 253 255]
  [167 161 165]
  [217 211 213]
  ...
  [223 234 254]
  [221 234 253]
  [220 233 252]]

 ...

 [[169 107  66]
  [132  85  55]
  [ 74  48  35]
  ...
  [213 202 210]
  [215 205 214]
  [211 203 214]]

 [[155 100  59]
  [110  71  42]
  [ 73  50  42]
  ...
  [140 120 119]
  [141 121 120]
  [134 116 116]]

 [[137  94  52]
  [ 92  58  31]
  [ 75  47  43]
  ...
  [119  88  67]
  [116  84  63]
  [104  72  51]]]"
57116,n8Zqqhff-2cxzWt_nwhU2Q,Game on!  Athletic department welcomes one and all. Co-ed sports encouraged.,inside,_1nHvIs0uk8Hc6yKfDRUUA,2,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_1nHvIs0uk8Hc6yKfDRUUA.jpg,"[[[247 208 141]
  [233 199 135]
  [222 191 127]
  ...
  [ 65  55  28]
  [ 44  37  11]
  [ 44  32  16]]

 [[237 188 119]
  [236 191 124]
  [231 187 122]
  ...
  [ 62  64  42]
  [ 57  60  33]
  [ 71  69  44]]

 [[227 172 108]
  [226 175 112]
  [221 171 110]
  ...
  [ 67  73  59]
  [ 94  96  74]
  [101  98  65]]

 ...

 [[ 29  29  31]
  [ 30  30  32]
  [ 33  33  33]
  ...
  [ 97  73  49]
  [100  76  52]
  [103  77  54]]

 [[ 29  29  29]
  [ 30  30  30]
  [ 33  33  33]
  ...
  [ 97  73  49]
  [102  76  53]
  [105  79  54]]

 [[ 31  29  30]
  [ 32  30  31]
  [ 34  34  34]
  ...
  [ 95  71  47]
  [100  74  51]
  [105  77  53]]]"
57287,wWuGa3OOQJro_XGe-GKBXA,,food,_bFDtwr4Rt5epFitoGXmRQ,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_bFDtwr4Rt5epFitoGXmRQ.jpg,"[[[206 151   6]
  [208 152   7]
  [209 153   8]
  ...
  [162 107  14]
  [158 103  13]
  [153  97  10]]

 [[190 140   7]
  [191 141   8]
  [193 143  10]
  ...
  [152  99   5]
  [149  96   4]
  [147  93   3]]

 [[203 160  45]
  [204 161  46]
  [207 164  49]
  ...
  [178 129  36]
  [178 128  33]
  [176 126  31]]

 ...

 [[243 243 231]
  [242 242 230]
  [242 242 230]
  ...
  [202 194 148]
  [208 199 156]
  [212 199 154]]

 [[242 242 230]
  [241 241 229]
  [241 241 229]
  ...
  [202 191 135]
  [207 196 142]
  [211 196 141]]

 [[243 241 229]
  [242 240 228]
  [242 240 228]
  ...
  [204 192 132]
  [209 197 139]
  [211 195 136]]]"
57433,HJMFCfgp8fbey-sCi9vGPw,The lobby,inside,_-3-RMw0hRtECw2lyTqFmg,2,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_-3-RMw0hRtECw2lyTqFmg.jpg,"[[[145 119 104]
  [144 121 105]
  [141 120 101]
  ...
  [141 153 131]
  [142 154 134]
  [139 159 132]]

 [[152 120 109]
  [139 110  96]
  [147 120 103]
  ...
  [148 145 128]
  [154 147 131]
  [153 152 131]]

 [[153 120 111]
  [156 124 113]
  [148 116 101]
  ...
  [171 149 136]
  [179 150 136]
  [182 157 137]]

 ...

 [[228 232 255]
  [229 232 249]
  [231 231 241]
  ...
  [111  91  58]
  [100  81  49]
  [ 93  76  46]]

 [[225 230 252]
  [225 228 243]
  [227 227 235]
  ...
  [103  83  50]
  [ 91  74  44]
  [ 86  71  42]]

 [[224 229 249]
  [223 225 238]
  [224 223 229]
  ...
  [102  83  51]
  [ 90  73  43]
  [ 85  69  43]]]"
57466,u-SJ5QUwrNquL9VnXwl8cg,Lounge area,inside,_CaEDszv_sChZisq_gF7yA,2,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_CaEDszv_sChZisq_gF7yA.jpg,"[[[165 135  65]
  [161 130  73]
  [159 128  74]
  ...
  [137  90  36]
  [146  86  32]
  [143  86  33]]

 [[173 140  73]
  [170 138  79]
  [168 136  79]
  ...
  [133  88  31]
  [140  84  27]
  [139  84  27]]

 [[173 137  75]
  [174 139  81]
  [175 141  80]
  ...
  [128  86  28]
  [134  83  20]
  [133  82  19]]

 ...

 [[ 41  25  28]
  [ 39  19  20]
  [ 84  58  57]
  ...
  [ 66  63  72]
  [ 56  53  62]
  [ 54  51  60]]

 [[ 52  33  27]
  [ 48  25  17]
  [ 90  62  50]
  ...
  [ 55  54  62]
  [ 55  53  64]
  [ 65  63  74]]

 [[ 59  40  26]
  [ 54  31  15]
  [ 92  66  43]
  ...
  [ 31  29  40]
  [ 35  33  44]
  [ 49  47  60]]]"
57531,01aNlDhbMObjc9OdAHuNpQ,A favorite place,inside,_7OnO1ucc90jwy8rYCdDRg,2,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_7OnO1ucc90jwy8rYCdDRg.jpg,"[[[101  88  33]
  [102  80  33]
  [115  77  38]
  ...
  [100  70  42]
  [110  59  38]
  [126  42  31]]

 [[140 120  67]
  [132 103  59]
  [143  99  62]
  ...
  [ 94  71  40]
  [113  61  37]
  [136  47  33]]

 [[156 131  77]
  [152 118  73]
  [160 114  78]
  ...
  [ 87  71  37]
  [117  60  33]
  [153  45  32]]

 ...

 [[ 17   6   2]
  [ 17   0   0]
  [ 45  17   0]
  ...
  [ 41  38  21]
  [ 40  37  20]
  [ 39  36  19]]

 [[ 18   8   7]
  [ 18   0   0]
  [ 44  18   0]
  ...
  [ 42  39  22]
  [ 41  38  21]
  [ 40  37  18]]

 [[ 14   9  15]
  [ 17   3   0]
  [ 40  17   0]
  ...
  [ 43  40  23]
  [ 42  39  20]
  [ 41  38  19]]]"
57616,-BbnAc9YEO6pjvJGEtFbVQ,Tomato Thin Noodle,food,__KSnga8w3a_IU28Plg4-Q,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/__KSnga8w3a_IU28Plg4-Q.jpg,"[[[237 182 125]
  [238 183 127]
  [240 185 129]
  ...
  [242 201 155]
  [242 202 153]
  [243 201 153]]

 [[242 186 129]
  [242 187 131]
  [244 189 133]
  ...
  [251 208 163]
  [251 209 161]
  [250 208 160]]

 [[242 185 130]
  [244 187 132]
  [244 189 135]
  ...
  [254 210 165]
  [254 210 163]
  [253 211 163]]

 ...

 [[230 139  60]
  [223 138  71]
  [220 138  78]
  ...
  [ 57  18  11]
  [ 57  18  11]
  [ 57  18  11]]

 [[238 146  63]
  [232 145  78]
  [228 142  85]
  ...
  [ 27  12  17]
  [ 27  12  17]
  [ 27  12  17]]

 [[236 140  56]
  [229 137  72]
  [223 132  79]
  ...
  [ 27  15  17]
  [ 26  16  17]
  [ 26  16  17]]]"
58273,DESv2ys6SjBKA4SyDtJvxw,,drink,_3U0T0aYaK3Uu-_1jKo8hg,0,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_3U0T0aYaK3Uu-_1jKo8hg.jpg,"[[[ 41  32   1]
  [ 48  29   0]
  [ 55  24   0]
  ...
  [ 45  10   4]
  [ 53  14   7]
  [ 51  13   0]]

 [[ 57  38   8]
  [ 61  37   3]
  [ 66  33   2]
  ...
  [ 85  38  12]
  [ 92  41  10]
  [ 93  44   4]]

 [[ 81  48  13]
  [ 82  49   8]
  [ 83  48   6]
  ...
  [141  82  14]
  [144  86  12]
  [145  88   7]]

 ...

 [[122 108  47]
  [120 106  45]
  [126 112  47]
  ...
  [229 218 154]
  [227 216 152]
  [223 212 148]]

 [[113 102  36]
  [114 103  37]
  [124 114  45]
  ...
  [229 218 152]
  [226 215 151]
  [221 210 144]]

 [[137 128  61]
  [138 129  60]
  [146 137  68]
  ...
  [215 201 136]
  [211 200 134]
  [208 197 131]]]"
58280,DESv2ys6SjBKA4SyDtJvxw,,food,_dGoy_jOIq9Evf5M3gwfoA,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_dGoy_jOIq9Evf5M3gwfoA.jpg,"[[[ 84  63   0]
  [ 93  59  14]
  [ 81  25  10]
  ...
  [ 10   0   9]
  [ 12   1   7]
  [ 13   1   5]]

 [[ 85  64   1]
  [ 86  52   7]
  [ 74  21   3]
  ...
  [  8   2   4]
  [ 11   2   3]
  [ 13   1   1]]

 [[ 92  67   3]
  [ 86  49   4]
  [ 75  23   2]
  ...
  [  8   3   0]
  [ 11   4   0]
  [ 14   5   0]]

 ...

 [[164 148  73]
  [170 154  79]
  [176 160  85]
  ...
  [212 190 115]
  [200 178 102]
  [188 166  90]]

 [[159 143  68]
  [166 150  75]
  [173 157  82]
  ...
  [215 193 118]
  [203 181 106]
  [189 167  91]]

 [[156 140  65]
  [162 146  71]
  [170 154  79]
  ...
  [184 162  89]
  [179 157  82]
  [175 153  77]]]"
